subtypes,toughness,type,name,rarity,historic,manaCost,power,text,types,alchemy,faceConvertedManaCost
"Rat, Rogue",4,Legendary Creature — Rat Rogue,"Nashi, Illusion Gadgeteer",rare,Legal,{1}{B}{G}{U},4,"Flash\nMenace, Ward {2}\nWhen Nashi enters, secretly choose a card in your graveyard and conjure a duplicate of it into your hand. If the duplicate isn't a land card, it perpetually gains flash.",Creature,Legal,
,,Instant,Silent Extraction,uncommon,Legal,{G}{U},,"Choose target spell. Counter that spell unless its controller pays {2}.\nThreshold — If seven or more cards are in your graveyard, seek a creature card with the same mana value as the chosen spell.",Instant,Legal,
"Spirit, Advisor",5,Legendary Creature — Spirit Advisor,Teysa of the Ghost Council,mythic,Legal,{2}{W}{B},0,"Starting intensity 0\nWhen Teysa enters, create a 1/1 white and black Spirit creature token with flying. Teysa intensifies by 1.\nSpirits you control get +X/+0, where X is Teysa's intensity.\nAt the beginning of your end step, you may exile Teysa. If you do, at the beginning of your next upkeep, return Teysa to the battlefield under its owner's control and it gains haste.",Creature,Legal,
,,Enchantment,Triumphant Getaway,rare,Legal,{1}{U}{B}{R},,"Flash\nWhen Triumphant Getaway enters, heist target opponent's library twice.\nWhenever you cast a spell you don't own, each opponent loses 2 life and you gain 2 life.",Enchantment,Legal,
"Vampire, Cleric, Knight",2,Legendary Creature — Vampire Cleric Knight,"Vona de Iedo, the Antifex",rare,Legal,{2}{W}{B}{B},4,"Menace\nWhen Vona de Iedo enters, destroy target nonland, nontoken permanent an opponent controls. Then you may discard a card. If you do, conjure a duplicate of that permanent into your hand, and the duplicate perpetually gains ""Mana of any type can be spent to cast this spell.""",Creature,Legal,
,,Instant,Weave the Nightmare,uncommon,Legal,{1}{U}{B},,"Choose one. If you control a nonland permanent you don't own as you cast this spell, you may choose two instead.\n• Heist target opponent's library.\n• Target creature gets -5/-5 until end of turn.\n• Counter target noncreature spell.",Instant,Legal,
,,Artifact,Runecarved Obelisk,uncommon,Legal,{4},,"{T}: Add {C}{C}. Put two charge counters on Runecarved Obelisk.\n{T}, Sacrifice Runecarved Obelisk: Seek a card with the highest mana value among cards in your library with mana value X or less, where X is the number of charge counters on Runecarved Obelisk.",Artifact,Legal,
,,Artifact,Celestial Vault,uncommon,Legal,{1}{W},,"{W}, {T}: Draft a card from Celestial Vault's spellbook and exile it face down.\n{1}, Sacrifice Celestial Vault: Put each card exiled with Celestial Vault into your hand.",Artifact,,
Angel,5,Creature — Angel,Herald of Vengeance,rare,Legal,{3}{W}{W},4,"Flying\nWhen Herald of Vengeance enters the battlefield, destroy each permanent you don't control that has the same name as a permanent that dealt damage to you last turn.",Creature,,
Angel,4,Creature — Angel,Skyline Savior,uncommon,Legal,{1}{W}{W},3,"Flying\nWhen this creature enters, return a permanent you control to its owner's hand. If it's a non-Angel creature card, it perpetually gets +1/+1, gains flying, and becomes an Angel in addition to its other types.",Creature,,
"Human, Rogue",2,Creature — Human Rogue,Agent of Raffine,rare,Legal,{U},1,"{2}, {T}: Choose target opponent. Conjure a duplicate of the top card of their library into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."" Then they exile the top card of their library face down.",Creature,,
,,Sorcery,Choice of Fortunes,uncommon,Legal,{2}{U},,"Seek two cards. You may shuffle them into your library. If you do, seek two cards.\nYou have no maximum hand size for the rest of the game.",Sorcery,,
"Human, Rogue",3,Creature — Human Rogue,Nightclub Bouncer,uncommon,Legal,{2}{U}{U},2,"Flash\nWhen this creature enters, return target nonland permanent an opponent controls to its owner's hand. It perpetually gains ""This spell costs {2} more to cast.""",Creature,,
"Gargoyle, Demon",5,Artifact Creature — Gargoyle Demon,Graven Archfiend,rare,Legal,{3}{B}{B},4,"As an additional cost to cast this spell, you may sacrifice a non-Demon creature.\nFlying\nWhen Graven Archfiend enters the battlefield, if its additional cost was paid, conjure a card named Demonic Pact onto the battlefield.","Artifact, Creature",,
,,Sorcery,Shattering Finale,uncommon,Legal,{1}{B},,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.)\nTarget creature an opponent controls perpetually gets -0/-3.",Sorcery,,
,,Enchantment,Xander's Wake,uncommon,Legal,{1}{B},,"Whenever one or more creatures you control die, draft a card from Xander's Wake's spellbook. This ability triggers only once each turn.",Enchantment,,
"Devil, Citizen",1,Creature — Devil Citizen,Big Spender,uncommon,Legal,{1}{R},2,"Haste\nWhenever one or more creatures you control become blocked, create a Treasure token.\nSacrifice two artifacts: Draft a card from Big Spender's spellbook.",Creature,,
,,Instant,Pass the Torch,rare,Legal,{1}{R},,"Pass the Torch deals 2 damage to any target. Choose a creature card in your hand. It perpetually gains ""Whenever this creature deals combat damage to a player, you may cast target card named Pass the Torch from your graveyard without paying its mana cost. If you do, this creature perpetually loses this ability"".",Instant,,
,,Sorcery,Traumatic Prank,uncommon,Legal,{2}{R},,"Gain control of target creature until end of turn. Untap that creature. It perpetually gains haste, ""This creature can't block,"" and ""At the beginning of your upkeep, this creature deals 1 damage to you.""",Sorcery,,
,,Instant,Giant Regrowth,uncommon,Legal,{1}{G}{G},,"Return target card from your graveyard to your hand. If it's a creature card, it perpetually gets +3/+3.",Instant,,
Aura,,Enchantment — Aura,Loose in the Park,rare,Legal,{1}{G},,"Enchant land\nWhen this enchantment enters, draw a card, then draft a card from this enchantment's spellbook and exile it.\n{3}: Enchanted land becomes a copy of the exiled card until end of turn and gains haste. It's still a land.",Enchantment,,
"Human, Citizen",3,Creature — Human Citizen,Menagerie Curator,uncommon,Legal,{1}{G},1,"{T}: Add one mana of any one color. Spend this mana only to cast a creature spell.\nWhenever you cast a creature spell that doesn't share a creature type with a creature card in your library, draw a card.",Creature,,
,,Enchantment,Arming Gala,rare,Legal,{3}{G}{W},,"At the beginning of your end step, creatures you control and creature cards in your hand, library, and graveyard perpetually get +1/+1.",Enchantment,,
"Elf, Druid",4,Creature — Elf Druid,Back-Alley Gardener,mythic,Legal,{R}{G}{W},3,"Alliance — Whenever one or more other creatures enter the battlefield under your control, seek a land card, then put it onto the battlefield tapped. This ability triggers only once each turn.",Creature,,
,,Enchantment,Bank Job,rare,Legal,{1}{B}{R},,"At the beginning of your upkeep, exile the bottom creature card of your library. You may cast that card this turn. At the beginning of the next end step, if that card is still exiled, put it into your graveyard and create a Treasure token.",Enchantment,,
,,Instant,Bind to Secrecy,rare,Legal,{U}{B},,"Choose one —\n• Counter target noncreature spell.\n• Conjure a duplicate of target creature card in an opponent's graveyard into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell.""\nIf there are five or more mana values among cards in your graveyard, draft a card from Bind to Secrecy's spellbook.",Instant,,
,,Instant,Brokers' Safeguard,rare,Legal,{W}{U},,"Exile target nonartifact creature you control. It perpetually gains ""This creature enters the battlefield with an additional shield counter on it."" Then return that card to the battlefield under its owner's control. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)",Instant,,
,,Enchantment,Cabaretti Revels,rare,Legal,{1}{R}{G},,"Whenever you cast a creature spell, seek a creature card with lesser mana value, then put it onto the battlefield.",Enchantment,,
"Octopus, Wizard",3,Creature — Octopus Wizard,Diviner of Fates,mythic,Legal,{W}{U}{B},2,"When this creature enters the battlefield, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)\nWhenever you discard one or more cards, seek a card that shares a card type with one of the discarded cards. This ability triggers only once each turn.",Creature,,
Crocodile,3,Creature — Crocodile,Effluence Devourer,mythic,Legal,{B}{R}{G},4,"Whenever you sacrifice Effluence Devourer or another creature, it perpetually gains ""{2}, Exile this card from your graveyard: Create an X/X green Ooze creature token, where X is this card's power. Activate only as a sorcery.""\nBlitz {B}{R}{G} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)",Creature,,
"Octopus, Wizard",2,Creature — Octopus Wizard,Obscura Polymorphist,rare,Legal,{1}{W}{U},2,"When this creature enters the battlefield, exile target creature. Its controller seeks a creature card.",Creature,,
"Cat, Warrior",2,Creature — Cat Warrior,Racketeer Boss,rare,Legal,{R}{G},3,"When Racketeer Boss enters, choose up to two creature and/or planeswalker cards in your hand. They perpetually gain ""When you cast this spell, create a Treasure token and this spell perpetually loses this ability.""",Creature,,
"Lizard, Warrior",1,Creature — Lizard Warrior,Riveteers Provocateur,rare,Legal,{B}{R},3,"Menace\nWhen this creature enters, choose a creature card in your hand without blitz. It perpetually gains blitz. The blitz cost is equal to its mana cost.\nBlitz {B}{R} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)",Creature,,
"Cat, Citizen",2,Creature — Cat Citizen,Rope Line Attendant,rare,Legal,{G}{W},2,"When Rope Line Attendant enters the battlefield, creature cards in your hand perpetually gain ""When this creature enters the battlefield, create a 1/1 green and white Citizen creature token.""",Creature,,
"Rhino, Warrior",3,Creature — Rhino Warrior,Spara's Bodyguard,mythic,Legal,{G}{W}{U},3,"When Spara's Bodyguard enters the battlefield, you may choose a creature card in your hand. If you do, it perpetually gains ""This creature enters the battlefield with an additional shield counter on it."" Otherwise, put a shield counter on Spara's Bodyguard. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\nAt the beginning of each combat, Spara's Bodyguard gets +1/+1 until end of turn for each shield counter among other creatures you control.",Creature,,
"Vampire, Assassin",3,Creature — Vampire Assassin,Spelldrain Assassin,mythic,Legal,{U}{B}{R},3,"When Spelldrain Assassin enters the battlefield, choose an instant or sorcery card in your hand. It perpetually gains casualty 2. (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)",Creature,,
"Vampire, Rogue",5,Creature — Vampire Rogue,Syndicate Recruiter,rare,Legal,{2}{U}{B},4,"Flying, ward {1}\nWhen Syndicate Recruiter enters the battlefield, mill four cards. Then if there are five or more mana values among cards in your graveyard, conjure a card named Dig Up the Body into your hand.",Creature,,
"Human, Monk",3,Legendary Creature — Human Monk,"Lam, Storm Crane Elder",mythic,Legal,{2}{W}{W},3,"Prowess\nWhenever you cast a noncreature spell, conjure a card named Monastery Mentor onto the battlefield.",Creature,Legal,
"Human, Warrior",*,Creature — Human Warrior,Thunderbond Vanguard,rare,Legal,{2}{W},*,Thunderbond Vanguard's power and toughness are each equal to the number of creatures you control.\nEach creature token you control enters as a copy of this creature.,Creature,Legal,
,,Enchantment,Waystone's Guidance,uncommon,Legal,{1}{W},,"Attacking tokens you control get +1/+0.\nWhenever you cast your first creature spell each turn, that spell gains mobilize 2.",Enchantment,Legal,
Dragon,5,Creature — Dragon,Cunning Azurescale // Divining Dive,rare,Legal,{5}{U},5,"Flash\nFlying\nWhen this creature enters, secretly choose land or nonland. Seek two cards of the chosen kind.",Creature,Legal,6.0
Omen,,Instant — Omen,Cunning Azurescale // Divining Dive,rare,Legal,{1}{U},,Secretly choose land or nonland. Seek a card of the chosen kind.,Instant,Legal,2.0
Dragon,5,Creature — Dragon,Pearl Lake Warden // Nesting Instinct,rare,Legal,{3}{U},4,"As long as this card is the top card of your library, you may look at it any time and you may cast it.\nFlying",Creature,Legal,4.0
Omen,,Sorcery — Omen,Pearl Lake Warden // Nesting Instinct,rare,Legal,{2}{G},,Seek a land card and put it onto the battlefield.,Sorcery,Legal,3.0
,,Sorcery,Ureni's Counsel,uncommon,Legal,{6}{U},,This spell costs {1} less to cast for each Dragon card in your library.\nSeek a Dragon card.\nHarmonize {8}{R}{R},Sorcery,Legal,
,,Sorcery,Draconic Fealty,uncommon,Legal,{B},,"As an additional cost to cast this spell, you may behold a Dragon.\nTarget player discards a card with the greatest mana value among cards in their hand. If a Dragon was beheld, exile that player's graveyard.",Sorcery,Legal,
"Human, Warrior",1,Creature — Human Warrior,Runeblade Raiser,uncommon,Legal,{B},2,"This creature enters tapped.\nWhen this creature dies, return it to the battlefield under its owner's control. It perpetually loses this ability.",Creature,Legal,
"Human, Artificer",2,Creature — Human Artificer,Sibsig's Artisan,rare,Legal,{1}{B},3,"Renew — {1}{B}{B}, Exile this card from your graveyard: Put three +1/+1 counters on target creature you control. It perpetually gains this ability. Activate only as a sorcery.",Creature,Legal,
"Human, Monk",2,Creature — Human Monk,Dragonblood Twins,uncommon,Legal,{1}{R},2,"Double team\nFlurry — Whenever you cast your second spell each turn, until end of turn, this creature has base power and toughness 4/4 and gains flying.",Creature,Legal,
"Human, Monk",2,Creature — Human Monk,Dragonsoul Prodigy,rare,Legal,{2}{R},2,"Whenever you cast your first Omen spell each turn, conjure a duplicate of that card onto the battlefield. It gains haste. At the beginning of the next end step, shuffle it into its owner's library.",Creature,Legal,
Dragon,,Kindred Enchantment — Dragon,Dragon Typhoon,rare,Legal,{4}{R}{R},,"Whenever you cast a Dragon or noncreature spell, draft a card from Dragon Typhoon's spellbook and put it onto the battlefield.\nChannel — {2}{R}{R}, Discard this card: Create a 4/4 red Dragon creature token with flying.","Kindred, Enchantment",Legal,
Equipment,,Legendary Artifact — Equipment,Stormforged Armor,rare,Legal,{1}{R}{R},,"Equipped creature has ""Whenever this creature attacks, conjure a card named Ball Lightning onto the battlefield tapped and attacking.""\nEquip—Pay 3 life.",Artifact,Legal,
,,Sorcery,Swiftspear's Teachings,uncommon,Legal,{R},,"You get a one-time boon with ""When you cast a creature spell, it gains prowess and haste.""\nDraw a card.",Sorcery,Legal,
"Dog, Mercenary",2,Creature — Dog Mercenary,Amber-Plate Ainok,uncommon,Legal,{1}{G},2,"Double team\nAt the beginning of your second main phase, if this creature is tapped, it endures 1.",Creature,Legal,
,,Enchantment,Hardened Bonds,rare,Legal,{G},,"Whenever a +1/+1 counter is put on a creature you control, seek a creature card. That card perpetually gets +1/+1. This ability triggers only once each turn.",Enchantment,Legal,
Lizard,1,Creature — Lizard,Pampered Loamfrill,rare,Legal,{G},1,"Deathtouch\nRenew — {1}{G}, Exile this card from your graveyard: Conjure a duplicate of another target creature card in your graveyard onto the top of your library. The duplicate perpetually gets +1/+1 and gains deathtouch. Activate only as a sorcery.",Creature,Legal,
"Ogre, Warrior, Wizard",4,Creature — Ogre Warrior Wizard,Audacious Knuckleblade,rare,Legal,{G}{U}{R},4,"Exhaust — {2}{G}: Seek a card named Audacious Knuckleblade and put it onto the battlefield tapped.\nExhaust — {1}{U}: Surveil 2, then untap this creature.\nExhaust — {R}: Creatures you control gain haste until end of turn.",Creature,Legal,
,,Sorcery,Call the Crash,rare,Legal,{3}{W}{B}{G},,Suspend 2—{1}{W}{B}{G}\nConjure two cards named Siege Rhino onto the battlefield.,Sorcery,Legal,
"Orc, Warrior",4,Creature — Orc Warrior,Dalkovan Outrider,rare,Legal,{1}{B}{R},3,"Mobilize 2\nWhenever you sacrifice a permanent, the topmost creature card in your library perpetually gets +1/+1.",Creature,Legal,
"Elephant, Warrior",6,Legendary Creature — Elephant Warrior,"Hamza, Might of the Yathan",mythic,Legal,{2}{W}{B}{G},5,"Whenever a creature you control is turned face up, it endures X, where X is that creature's toughness.\nLandfall — Whenever a land you control enters, seek a creature card and manifest it.",Creature,Legal,
,,Sorcery,Illuminating Lash,uncommon,Legal,{U}{R},,"Illuminating Lash deals 3 damage to any target.\nYou get a one-time boon with ""When you cast a noncreature spell, draw a card.""",Sorcery,Legal,
Dragon,4,Creature — Dragon,Mardu Thunderkite,mythic,Legal,{R}{W}{B},2,"Flying\nMobilize 2\nWhen this creature enters, creatures you control perpetually gain your choice of menace, lifelink, or haste.",Creature,Legal,
,,Legendary Enchantment,Oasis of Renewal,rare,Legal,{B}{G}{U},,"When Oasis of Renewal enters and whenever a land card leaves your graveyard, seek a land card. This ability triggers only once each turn.\nWhen Oasis of Renewal enters and whenever a nonland card leaves your graveyard, seek a nonland card. This ability triggers only once each turn.",Enchantment,Legal,
,,Sorcery,Song of Seasons,uncommon,Legal,{1}{R}{G},,"Seek a Mountain card, a Forest card, and a non-Mountain, non-Forest land card. Put one of them onto the battlefield and put one of them into your graveyard.",Sorcery,Legal,
Dragon,6,Creature — Dragon,Stonehide Ancient // Warning Tremor,mythic,Legal,{3}{G}{U}{R},6,"Flying, Vigilance\nWhen this creature enters, return all non-Dragon creatures to their owners' hands.",Creature,Legal,6.0
Omen,,Sorcery — Omen,Stonehide Ancient // Warning Tremor,mythic,Legal,{2}{R},,Warning Tremor deals 2 damage to any target.\nThe next Dragon spell you cast costs {2} less to cast.,Sorcery,Legal,3.0
,,Sorcery,Territorial Strike,uncommon,Legal,{1}{B}{G},,"As an additional cost to cast this spell, you may behold a Dragon creature.\nDestroy target nonland permanent. If a Dragon creature was beheld, it perpetually gets +2/+2.",Sorcery,Legal,
"Bird, Monk",3,Legendary Creature — Bird Monk,"Xho Cai, Flickering Talon",mythic,Legal,{U}{R}{W},2,"Flying, Vigilance, Haste\nWhen Xho Cai enters, the next noncreature spell you cast costs {1} less to cast.\nFlurry — Whenever you cast your second spell each turn, exile up to one target creature you control, then return it to the battlefield under its owner's control.",Creature,Legal,
,,Artifact,Dragonweave Tapestry,rare,Legal,{4},,"When this artifact enters, conjure Dragonweave Tapestry's spellbook into your library twice, then shuffle.\nWhenever you cast a Dragon or Omen spell, draw a card.\n{T}: Add one mana of any color.",Artifact,Legal,
Desert,,Land — Desert,Desert Cenote,rare,Legal,,,"If you were the starting player, this land enters tapped.\nAs this land enters, choose up to two colors from among cards in your hand.\n{T}: Add {C}.\n{T}: Add one mana of a chosen color.",Land,Legal,
"Human, Cleric, Knight",5,Legendary Creature — Human Cleric Knight,"Cerise, Slayer of Fear",rare,Legal,{3}{W}{W},5,"First strike, lifelink\nAt the beginning of your second main phase, if you gained life this turn, seek a card with the highest mana value among cards in your library with mana value less than or equal to the amount of life you gained this turn.",Creature,Legal,
"Dwarf, Artificer",2,Creature — Dwarf Artificer,Dedicated Dollmaker,rare,Legal,{1}{W},2,"When Dedicated Dollmaker enters, exile up to one other target nonland, nontoken permanent. Its controller creates a token that's a copy of it, except it's not legendary and it's an artifact in addition to its other types.\n{1}{W}: Tokens you control gain indestructible until end of turn. Activate only once.",Creature,Legal,
Saga,,Enchantment — Saga,The Conundrum of Bowls,rare,Legal,{2}{U}{U},,(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Seek a card with mana value less than the number of cards in your hand.\nII — Seek a card with mana value greater than the number of cards in your hand.\nIII — Count the number of cards in your hand. You may cast a spell with mana value equal to that number from your hand without paying its mana cost.,Enchantment,Legal,
,,Instant,Paths of Tuinvale,uncommon,Legal,{1}{U},,"Choose one or both —\n• Return target creature you control to its owner's hand. That card perpetually gains ""This spell costs {1} less to cast.""\n• Return target creature you don't control to its owner's hand. That card perpetually gains ""This spell costs {1} more to cast.""",Instant,Legal,
"Faerie, Wizard",2,Creature — Faerie Wizard,Talion's Throneguard,rare,Legal,{2}{U}{U},4,"Flash\nBargain\nFlying\nWhen Talion's Throneguard enters, return up to one target spell or nonland permanent to its owner's hand. If Talion's Throneguard was bargained, that card perpetually gains ""This spell costs {2} more to cast.""",Creature,Legal,
Equipment,,Artifact — Equipment,Tome of Gadwick,rare,Legal,{U},,"Equipped creature gets +1/+0 and has ward {1}.\nWhenever equipped creature attacks, conjure a random card from Tome of Gadwick's spellbook into your hand.\nEquip {1}",Artifact,Legal,
"Human, Warlock",1,Creature — Human Warlock,Dunbarrow Revivalist,uncommon,Legal,{1}{B},3,"Bargain\nWhen Dunbarrow Revivalist enters, you get a one-time boon with ""When one or more creatures enter under your control, create a Wicked Role token attached to one of them."" Then if Dunbarrow Revivalist was bargained, return a creature card from your graveyard to your hand.",Creature,Legal,
"Ogre, Warlock",4,Creature — Ogre Warlock,Underbridge Warlock,mythic,Legal,{3}{B}{B},5,"Deathtouch\nWhen Underbridge Warlock enters, you get a one-time boon with ""At the beginning of your end step, if three or more creatures died this turn, each opponent loses 5 life and you gain 5 life.""\nAt the beginning of your end step, if you have a boon, you mill three cards, draw a card, and lose 2 life.",Creature,Legal,
,,Sorcery,Draconic Debut,uncommon,Legal,{X}{R},,Draconic Debut deals X damage to any target.\nThe next Dragon creature spell you cast costs {X} less to cast.,Sorcery,Legal,
"Human, Warlock",2,Creature — Human Warlock,Heir to Dragonfire,rare,Legal,{1}{R},2,"{R}: Heir to Dragonfire gets +1/+0 until end of turn.\n{2}{R}, Reveal Heir to Dragonfire from your hand: Heir to Dragonfire perpetually becomes a Dragon, gets +3/+3, and gains flying.",Creature,Legal,
,,Enchantment,Overcooked,mythic,Legal,{2}{R},,"Players can't gain life.\nCelebration — At the beginning of your end step, create a Food token. If two or more nonland permanents entered under your control this turn, instead conjure a card named Food Fight onto the battlefield.",Enchantment,Legal,
Saga,,Enchantment — Saga,Victory of the Pyrohammer,rare,Legal,{3}{R}{R},,"(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Victory of the Pyrohammer deals 4 damage to each creature and each planeswalker. Victory of the Pyrohammer gains ""Damage isn't removed from creatures during cleanup steps.""\nII, III — Victory of the Pyrohammer deals 1 damage to each creature and each planeswalker.",Enchantment,Legal,
Saga,,Enchantment — Saga,A Golden Opportunity,rare,Legal,{2}{G},,"(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Conjure a card named Gilded Goose onto the battlefield.\nII, III — You may tap an untapped Bird you control and sacrifice an artifact. If you do, conjure a card named Golden Egg onto the battlefield.",Enchantment,Legal,
Dog,1,Legendary Creature — Dog,"Hex, Kellan's Companion",rare,Legal,{1}{G},1,"Haste\nWhenever you cast an Adventure spell, if Hex, Kellan's Companion is on the battlefield or in exile, it perpetually gets +1/+1. Then if it's on the battlefield, exile it with a fetch counter on it.\nWhenever you cast a spell from exile, if Hex is in exile with a fetch counter on it, put it onto the battlefield.",Creature,Legal,
,,Sorcery,Swine Rebellion,rare,Legal,{2}{G},,"If you control three or more Boars with different names, conjure each card from the Three Pigs spellbook onto the battlefield. If you control two or fewer Boars with different names, conjure two cards of your choice from the Three Pigs spellbook into your hand, then put one of them onto the battlefield.",Sorcery,Legal,
"Otter, Wizard",1,Creature — Otter Wizard,Accident-Prone Apprentice // Amphibian Accident,uncommon,Legal,{1}{R},1,"Whenever you cast a noncreature spell, Accident-Prone Apprentice perpetually gets +1/+1. This ability also triggers if Accident-Prone Apprentice is in exile.",Creature,Legal,2.0
Adventure,,Instant — Adventure,Accident-Prone Apprentice // Amphibian Accident,uncommon,Legal,{1}{U},,"Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.",Instant,Legal,2.0
"Human, Warlock",5,Creature — Human Warlock,Drover of the Swine,mythic,Legal,{2}{W}{B}{G},5,"When Drover of the Swine enters, choose one —\n• Conjure a card of your choice from the Three Pigs spellbook onto the battlefield.\n• Return up to three target Boar creature cards with different names from your graveyard to the battlefield.",Creature,Legal,
Boar,2,Creature — Boar,First Little Pig,uncommon,Legal,{1}{G/W},2,{1}{G/W}: Exile target artifact or enchantment. Activate only once.,Creature,Legal,
,,Instant,Grow Old Together,uncommon,Legal,{1}{G}{U},,"Seek two creature cards from among the top ten cards of your library, then shuffle. Creature cards in your hand perpetually get +1/+1.",Instant,Legal,
"Faerie, Rogue",4,Creature — Faerie Rogue,High Fae Prankster,rare,Legal,{2}{U}{B},1,"Flying, deathtouch\nWhen High Fae Prankster enters, choose up to one —\n• Perpetually exchange target creature's base power with another target creature's base power.\n• High Fae Prankster perpetually has base power and toughness 4/1.",Creature,Legal,
"Human, Noble",3,Creature — Human Noble,Jewel Mine Overseer,mythic,Legal,{1}{R}{W},3,"When Jewel Mine Overseer enters, conjure seven cards named Seven Dwarves on top of your library. They perpetually gain ""When this creature enters, draw a card."" Then shuffle.\nAt the beginning of your upkeep, exile the top card of your library. You may play that card this turn.",Creature,Legal,
"Human, Knight",2,Creature — Human Knight,Outfitted Jouster,rare,Legal,{2}{B}{R},2,"When Outfitted Jouster enters, conjure a card named Steelclaw Lance and a card named Brawler's Plate onto the battlefield and attach them to Outfitted Jouster.\nIf damage would be dealt to Outfitted Jouster while it's equipped, prevent that damage. When damage is prevented this way, sacrifice an Equipment attached to Outfitted Jouster.",Creature,Legal,
,,Enchantment,Porcine Portent // Lend a Ham,rare,Legal,{3}{W},,"When Porcine Portent enters, conjure a card of your choice from the Three Pigs spellbook onto the battlefield.\nBoars you control get +1/+1.",Enchantment,Legal,4.0
Adventure,,Instant — Adventure,Porcine Portent // Lend a Ham,rare,Legal,{2}{B},,Exile target creature. You gain 1 life for each Boar you control.,Instant,Legal,3.0
Boar,3,Creature — Boar,Second Little Pig,uncommon,Legal,{1}{W/B},2,{2}{W/B}{W/B}: Second Little Pig perpetually becomes a Boar Spirit with base power and toughness 4/4 and gains flying. Activate only if Second Little Pig isn't a Spirit.,Creature,Legal,
Turtle,3,Creature — Turtle,Steady Tortoise // Harried Dash,uncommon,Legal,{4}{G},3,"Ward {2}\nWhenever you attack, Steady Tortoise perpetually gets +1/+1. This ability also triggers if Steady Tortoise is in exile.",Creature,Legal,5.0
Adventure,,Sorcery — Adventure,Steady Tortoise // Harried Dash,uncommon,Legal,{R},,Create a 1/1 white Rabbit creature token. It gains haste until end of turn.,Sorcery,Legal,1.0
Giant,6,Creature — Giant,Stormkeld Curator // Giant Secrets,mythic,Legal,{4}{W}{W},6,"When Stormkeld Curator enters, you may put any number of Aura cards from your graveyard and/or hand onto the battlefield attached to it.",Creature,Legal,6.0
Adventure,,Instant — Adventure,Stormkeld Curator // Giant Secrets,mythic,Legal,{X}{U}{U},,Conjure X random cards from Giant Secrets's spellbook into your hand.,Instant,Legal,2.0
"Human, Knight",3,Legendary Creature — Human Knight,Syr Joshua and Syr Saxon,rare,Legal,{G}{W},2,"Double team\nIf you control exactly two legendary permanents named Syr Joshua and Syr Saxon, the ""legend rule"" doesn't apply to them.\nEach other creature you control named Syr Joshua and Syr Saxon has battle cry.",Creature,Legal,
Boar,2,Creature — Boar,Third Little Pig,uncommon,Legal,{1}{B/G},2,"Whenever you conjure one or more other cards, Third Little Pig perpetually gets +1/+1. This ability also triggers if Third Little Pig is in your graveyard.",Creature,Legal,
,,Land,Captivating Crossroads,rare,Legal,,,"During your first three turns of the game, Captivating Crossroads enters tapped if you were the starting player.\nAs Captivating Crossroads enters, choose a color.\n{T}: Add one mana of the chosen color.",Land,Legal,
,,Land,Loch Larent,uncommon,Legal,,,"Loch Larent enters tapped.\n{T}: Add {U}.\n{1}{U}, {T}: Scry 3. Target opponent gets a one-time boon with ""When you cast a creature spell, that creature enters tapped and with a stun counter on it."" Activate only during your turn and only once.",Land,Legal,
,,Instant,Allied Assault,uncommon,Legal,{2}{W},,"Up to two target creatures each get +X/+X until end of turn, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",Instant,,
"Angel, Cleric",6,Creature — Angel Cleric,Angel of Destiny,mythic,Legal,{3}{W}{W},2,"Flying, double strike\nWhenever a creature you control deals combat damage to a player, you and that player each gain that much life.\nAt the beginning of your end step, if you have at least 15 life more than your starting life total, each player this creature attacked this turn loses the game.",Creature,,
"Human, Cleric",2,Creature — Human Cleric,Angelheart Protector,common,Legal,{2}{W},3,"When this creature enters, target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Creature,,
Archon,3,Creature — Archon,Archon of Emeria,rare,Legal,{2}{W},2,Flying\nEach player can't cast more than one spell each turn.\nNonbasic lands your opponents control enter tapped.,Creature,,
"Human, Cleric",2,Creature — Human Cleric,Archpriest of Iona,rare,Legal,{W},*,"Archpriest of Iona's power is equal to the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)\nAt the beginning of combat on your turn, if you have a full party, target creature gets +1/+1 and gains flying until end of turn.",Creature,,
